title,content_url,p_date,read_num,like_num,comment_num,reward_num,author,c_date,u_date,source_url
变味的 PyCon China，推荐一下北京的Python开发者活动,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367388&idx=1&sn=615ed9ab9578a6db901e574afed99575&chksm=be9cdec889eb57de357e5c54ea9caa0e8f3b9bde425865ccc0609d88299b604b69f161193d38&scene=27#wechat_redirect,2017-10-15T16:08:32.000Z,2474,34,0,0,刘志军,2018-01-17T17:59:56.715Z,2018-01-17T18:04:33.825Z,http://www.huodongxing.com/event/1408930902000
编程零基础，如何成为未来的无人车工程师？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367379&idx=1&sn=1560c26589e1e53e69e5b7ba2ae8f48d&chksm=be9cdec789eb57d105e5a374873d1efa9db41cd98ce96abd924d53f2204dd6737a990a349134&scene=27#wechat_redirect,2017-10-13T08:04:08.000Z,1645,5,0,0,Udacity,2018-01-17T17:59:56.716Z,2018-01-17T18:04:35.008Z,https://cn.udacity.com/dlnd/?utm_source=VTtalk&utm_medium=wechat&utm_campaign=DLND06
Pycharm中一些不为人知的技巧,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367378&idx=1&sn=e1ad472a10bd0779c7e1a34cc7dbd7bb&chksm=be9cdec689eb57d049afffd9f8477b2b73c6d17bbd2f0b69363a94f5f385525c8e17a461a38d&scene=27#wechat_redirect,2017-10-12T18:11:11.000Z,4141,45,0,2,刘志军,2018-01-17T17:59:56.717Z,2018-01-17T18:04:36.228Z,
第6期赠书中奖结果公布,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367360&idx=1&sn=969043ec7776c8d17981a8faeae0c5ac&chksm=be9cded489eb57c293a29953e38cda8923b3e2549bf79a47a3267db2d99703733420642a7181&scene=27#wechat_redirect,2017-10-11T17:40:00.000Z,1606,31,0,0,刘志军,2018-01-17T17:59:56.718Z,2018-01-17T18:11:05.027Z,
听说你想做AI工程师,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367356&idx=1&sn=65d425b6cf47e3b6cd4e2851af4ff8e3&chksm=be9cde2889eb573e7baf0104a6e80299b28a34fcda18805b29b7e4a5dbdbf5c1585d4f94a80f&scene=27#wechat_redirect,2017-09-30T09:25:54.000Z,2884,15,0,0,,2018-01-17T17:59:56.718Z,2018-01-17T18:11:06.224Z,http://activity.geekbang.org/stuq/ai-17-oct/?hmsr=16&hmpl=&hmcu=&hmkw=&hmci=
入门 Python 要多久?,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367351&idx=1&sn=5e0f7f76a70f9063b96ad8acd0647dfe&chksm=be9cde2389eb5735164f0dfb8f300236ac1693392b924ec3eef73236716d4f91e2f07f8b6ac7&scene=27#wechat_redirect,2017-09-29T08:01:36.000Z,4200,14,0,0,,2018-01-17T17:59:58.914Z,2018-01-17T18:11:07.443Z,http://t.cn/R0KgI60
[荐书|福利] 如何系统学习网络爬虫,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367350&idx=1&sn=2b2814b1fd62909d3339de03b3c36101&chksm=be9cde2289eb57344763ac2bef3badff4dd52e015ab67b806ebe50ccccc6ade27906204fbf0c&scene=27#wechat_redirect,2017-09-28T17:16:31.000Z,4305,76,0,10,刘志军,2018-01-17T17:59:58.919Z,2018-01-17T18:11:08.723Z,http://t.cn/R0NbbBs
如果每一种语言都对应一种女生，你会喜欢哪一个？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367339&idx=1&sn=a8a03f898f2602921a451b17a0a32179&chksm=be9cde3f89eb5729f5b5cff6a98956276f5f8f38ed8f8d534c4cac26df5d3b54b1aed872dc99&scene=27#wechat_redirect,2017-09-27T20:00:00.000Z,2041,11,0,0,,2018-01-17T17:59:58.922Z,2018-01-17T18:11:09.914Z,
仅需三步，教你用爬虫捕获女孩的心,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367322&idx=1&sn=47427afa3e34c6897616501ff05f4e3e&chksm=be9cde0e89eb57186c1f31c73991f777024cc6c5b02c5bbc5677aa2b68160dcd790ea9ed842f&scene=27#wechat_redirect,2017-09-25T08:00:00.000Z,3522,24,0,0,腾讯课堂,2018-01-17T17:59:58.925Z,2018-01-17T18:11:11.106Z,
\bPython程序员都知道的5个彩蛋,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367319&idx=1&sn=614dede944ebc8bca7f45a6a59109fa4&chksm=be9cde0389eb5715364c32a1da7fbb86c0b3c862faaffe13740ff7174f42a337e05cabfaa231&scene=27#wechat_redirect,2017-09-24T09:00:00.000Z,3474,37,0,1,刘志军,2018-01-17T17:59:58.926Z,2018-01-17T18:11:12.333Z,
Python爬虫知识点梳理,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367313&idx=1&sn=85f7e54a623c626ddb2605df5156a7c3&chksm=be9cde0589eb5713b36ada31389e4f35439a44b4fd0f852c4acfb3e4f8594ae4ff21824724e0&scene=27#wechat_redirect,2017-09-20T18:12:54.000Z,8370,128,0,5,刘志军,2018-01-17T17:59:58.928Z,2018-01-17T18:11:13.571Z,https://foofish.net/python-crawler.html
体验小程序开发,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367312&idx=1&sn=58c8fecb344d91e37f51be05514de645&chksm=be9cde0489eb5712457ccf938dd92fb1d58df7b5170315222e2ad9adba3515db368f81d3113f&scene=27#wechat_redirect,2017-09-16T12:33:36.000Z,5016,34,0,4,刘志军,2018-01-17T17:59:58.930Z,2018-01-17T18:11:14.816Z,
面试说白了，还不是让面试官爱上你？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367311&idx=1&sn=757eb2b945dbfaf5c10ecdfb88e505ba&chksm=be9cde1b89eb570de862b476dcc37a15cb19846146bc3a06e05334c93d7e31e11079bca7419f&scene=27#wechat_redirect,2017-09-15T08:31:47.000Z,2428,7,0,0,,2018-01-17T17:59:58.931Z,2018-01-17T18:11:16.004Z,
发起一场GitChat是什么体验？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367298&idx=1&sn=9926c05411887724beadff239b5afd27&chksm=be9cde1689eb57001a5aabb47db745be63bc552e0cee73d23e78009afac074f6a5a5179c9dc1&scene=27#wechat_redirect,2017-09-12T16:35:54.000Z,1844,10,0,1,刘志军,2018-01-17T17:59:58.933Z,2018-01-17T18:11:17.215Z,
Python成为高收入国家增加最快的语言,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367298&idx=2&sn=de40afb1e9d40fd8addd90475e9cdef2&chksm=be9cde1689eb5700fa4c68760dcdf6ba0b4ccfbe07597c78d547658847ba87a0f280db143d2e&scene=27#wechat_redirect,2017-09-12T16:35:54.000Z,1129,7,0,0,David Robinson,2018-01-17T17:59:58.935Z,2018-01-17T18:11:18.402Z,
如何应对 Python 编码巨“坑”,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367285&idx=1&sn=1b24a960dd3b7e40a975ce54589dd7de&chksm=be9cde6189eb57771c4b79447a84efea2a014f07e7ad65e659e3e8385c0ea1db28994b12f484&scene=27#wechat_redirect,2017-09-11T13:45:47.000Z,2330,18,0,0,刘志军,2018-01-17T17:59:58.936Z,2018-01-17T18:11:19.603Z,
给Python新手的一道面试题：如何正确读写文件,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367277&idx=1&sn=74796622779ab0841ceebc8ac34fef7c&chksm=be9cde7989eb576f355bf09748538104fc8fa152a5a740607617cdfa8839e705b00dcfb88c7f&scene=27#wechat_redirect,2017-09-07T17:59:16.000Z,3670,54,0,1,军哥,2018-01-17T18:00:01.157Z,2018-01-17T18:11:20.817Z,
00后CEO涉嫌抄袭，保护版权，如何选择开源许可协议？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367273&idx=1&sn=d4f8165cd182ece087a44699bfb05d78&chksm=be9cde7d89eb576b9d1cf92aa44900baa084ac9091df1cc1051fe2bd9361bdc56892064dc96d&scene=27#wechat_redirect,2017-09-06T12:01:25.000Z,2892,20,0,0,刘志军,2018-01-17T18:00:01.158Z,2018-01-17T18:11:22.013Z,https://davidsheh.github.io/2017/08/28/mac-fishshell/
Python：动态语言与鸭子类型,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367264&idx=1&sn=567cc22b6f0dd1be63946c4b7a9a1df4&chksm=be9cde7489eb57623216a5812abc2b344e6a9ee1aeb6b91d225fccc8ea09e336f28370c5217e&scene=27#wechat_redirect,2017-09-04T11:47:37.000Z,2084,36,0,1,刘志军,2018-01-17T18:00:01.159Z,2018-01-17T18:11:23.241Z,
零基础成为 Google 官方认证机器学习工程师，只需要2步?,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367257&idx=1&sn=4d5f13ca5d5a358a921c5e084656f3d5&chksm=be9cde4d89eb575b956019b7c4ce21180c21db160b2bfc4c1981df829e4a27ec246cc716084b&scene=27#wechat_redirect,2017-08-31T08:54:04.000Z,2465,16,0,0,,2018-01-17T18:00:01.160Z,2018-01-17T18:11:24.442Z,https://cn.udacity.com/mlnd/?utm_source=VTtalk&utm_medium=wechat&utm_campaign=MLND06
关于操作 Python 列表，最常见问答Top10,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367256&idx=1&sn=efba29368cf96767cb009f82f33cc0b2&chksm=be9cde4c89eb575a0aec905df66773c5326f8ac66d81c1e078d1525648577863a5f6eea56aaa&scene=27#wechat_redirect,2017-08-30T18:11:12.000Z,2831,44,0,2,刘志军,2018-01-17T18:00:01.161Z,2018-01-17T18:11:25.693Z,
程序猿的七夕是这样的,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367255&idx=1&sn=20016f1c1babc6fd40671234bb043598&chksm=be9cde4389eb575576bda51a443a1365b4855fb4a01e9129d369a5bc7ad608d7f8006f792528&scene=27#wechat_redirect,2017-08-28T16:02:17.000Z,2905,52,0,1,刘志军,2018-01-17T18:00:01.162Z,2018-01-17T18:11:26.910Z,https://qwd.jd.com/cgi-bin/qwd_portal?type=14&source=5&subsource=100
Linux 入门好书推荐,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367239&idx=1&sn=c1f238a399b79b05c0708bc1bf2ede40&chksm=be9cde5389eb5745cb805d00118b3065662e0c056404fb9e0f69388897f20382269b5878827b&scene=27#wechat_redirect,2017-08-24T18:10:20.000Z,4553,52,0,5,刘志军,2018-01-17T18:00:01.163Z,2018-01-17T18:11:28.165Z,https://qwd.jd.com/cgi-bin/qwd_portal?type=14&source=5&subsource=100
距离你入职硅谷名企 & BAT还差这些技能点！,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367223&idx=1&sn=7e07dcc533367d0c0486734151b6bf2c&chksm=be9cdfa389eb56b5a38960ddbc81f8cea31eaf2de53f30e81697b85e86d7304e48114acbc6e0&scene=27#wechat_redirect,2017-08-23T09:04:00.000Z,1845,9,0,0,,2018-01-17T18:00:01.164Z,2018-01-17T18:11:29.361Z,https://new.stuq.org/course/70?utm_source=pythonliu
Python：关于高效使用字典的清单,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367211&idx=1&sn=892a27682b88f4725b5cf6167781f276&chksm=be9cdfbf89eb56a9d323fa24e603af86a3d0870b699fb1a34e309734ba2ac64ff469841f7abf&scene=27#wechat_redirect,2017-08-22T11:43:08.000Z,3242,56,0,3,刘志军,2018-01-17T18:00:01.165Z,2018-01-17T18:11:30.606Z,
如何把自己的开源项目发布到Pypi服务器,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367205&idx=1&sn=ae450e73769dccf924caf63474e44833&chksm=be9cdfb189eb56a75280d5b8fe840701bbcb0c6599657817a6e9829f907f2cbc98deababf9dc&scene=27#wechat_redirect,2017-08-17T17:38:42.000Z,1511,16,0,0,刘志军,2018-01-17T18:00:03.394Z,2018-01-17T18:11:32.230Z,https://edu.hellobi.com/course/204
"Life is shit, go Pythonic!",http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367201&idx=1&sn=48cbe3249303cf412dc5fc5050707688&chksm=be9cdfb589eb56a3508a1fdcccabda4269fafaaa35f726c8e91c1e4449ac4b48884d3f62e480&scene=27#wechat_redirect,2017-08-15T11:47:01.000Z,2897,27,0,1,刘志军,2018-01-17T18:00:03.399Z,2018-01-17T18:11:33.444Z,https://m.hellobi.com/course/204
Python高居顶级编程语言交互排行榜第一，想玩编程的你要做些什么呢？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367195&idx=1&sn=9f75896a901a3f3d3a3d30070229a0f3&chksm=be9cdf8f89eb5699b4e607c9bfbe7070c6261585320409f1a800ba4c21bc4d85b8dc5bc7f849&scene=27#wechat_redirect,2017-08-10T19:05:35.000Z,2511,14,0,0,,2018-01-17T18:00:03.403Z,2018-01-17T18:11:34.639Z,
Python 高效处理字符串的秘密：字符串 Intern 机制,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367193&idx=1&sn=f17a2162cd6bcc2d5c6ba148e445d85b&chksm=be9cdf8d89eb569b8a22a3d3a430719e860807a382d422a52e364a12666abbe2b7878278e031&scene=27#wechat_redirect,2017-08-09T11:40:39.000Z,1961,32,0,3,刘志军,2018-01-17T18:00:03.405Z,2018-01-17T18:11:35.861Z,
"Python 中，字符串""连接""效率最高的方式是？一定出乎你的意料",http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367190&idx=2&sn=2076cbc79b36ee9d775537077e92887b&chksm=be9cdf8289eb56942bf61e4d302723130322e83e4d1a1446d997f65b35779956afdba05f8434&scene=27#wechat_redirect,2017-08-04T20:00:00.000Z,1628,31,0,0,刘志军,2018-01-17T18:00:03.464Z,2018-01-17T18:11:37.051Z,
第四期福利中奖结果,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367182&idx=1&sn=485935ae87ef7747685cecb345ab62a5&chksm=be9cdf9a89eb568cf70228b88556acc61ca341cba32d6f7a292c77ea8a9d4a5dec1308065fda&scene=27#wechat_redirect,2017-07-31T19:31:25.000Z,1086,33,0,3,刘志军,2018-01-17T18:00:03.466Z,2018-01-17T18:11:38.289Z,
10行代码爬取微信公众号文章评论,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367179&idx=1&sn=a8f5024c605c2774a68285bf7b092251&chksm=be9cdf9f89eb5689d1974e103e6a4584c47c8ae83f7fd541d20d463629bf3c8636607f8b21a1&scene=27#wechat_redirect,2017-07-30T21:49:18.000Z,7125,62,0,3,刘志军,2018-01-17T18:00:03.468Z,2018-01-17T18:11:39.507Z,
Python 2 和 Python 3 主要区别有哪些（一）,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367169&idx=1&sn=40f4e8310c3a253cc7af48544616b9a2&chksm=be9cdf9589eb56837dc5547ebafe9d36ae6f5c02d0178f4102a0cfa54eb9c01d623360d719d2&scene=27#wechat_redirect,2017-07-28T07:36:22.000Z,3655,47,0,1,刘志军,2018-01-17T18:00:03.469Z,2018-01-17T18:11:40.744Z,
Python进阶好书推荐，还有送书,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367165&idx=1&sn=408097690cc458defec93177cffb8967&chksm=be9cdfe989eb56ff8ff0919d34d6262eef2bfbfb314ee447e6b3986937889a168b6aec785aef&scene=27#wechat_redirect,2017-07-26T07:30:00.000Z,5110,141,0,9,给大家送福利的,2018-01-17T18:00:03.470Z,2018-01-17T18:18:50.121Z,http://t.cn/RoAHAZx
粉丝福利|一节2000+人报名的机器学习课，免费了,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367164&idx=1&sn=5ebf0ea752932ddbd8d42d67b88e65cc&chksm=be9cdfe889eb56feeb689bc75fdabd005c1fa419a80c5fcdae3e9bd1ee03279a591475d1e32a&scene=27#wechat_redirect,2017-07-25T12:07:04.000Z,1770,17,0,0,,2018-01-17T18:00:05.701Z,2018-01-17T18:18:51.314Z,
免费公开课|实用机器学习方法——集成学习,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367160&idx=1&sn=b7ab5229e7743f08af85b888d9894720&chksm=be9cdfec89eb56fa51b69966c359bcaa6f8efc0f2d8648d42d89c1bd484b766fec937adfabe3&scene=27#wechat_redirect,2017-07-24T20:07:11.000Z,1042,8,0,0,,2018-01-17T18:00:05.703Z,2018-01-17T18:18:52.497Z,
耐人寻味的 for...else...语句,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367157&idx=1&sn=4f1929df141a2a7a8a110ec8665926d3&chksm=be9cdfe189eb56f784d10887bf5087792262b8a2e08a496cd84a36761138a27a7b72cddac681&scene=27#wechat_redirect,2017-07-23T16:27:59.000Z,2701,51,0,0,刘志军,2018-01-17T18:00:05.704Z,2018-01-17T18:18:53.706Z,
《import this》背后的故事,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367149&idx=1&sn=5b9bc4a8029e7eb9b8a4b71d06524da9&chksm=be9cdff989eb56ef143d5b03fab7e825f08ea6a96d041aa1da50e78e765a75e60d49b42d9bf6&scene=27#wechat_redirect,2017-07-21T13:00:58.000Z,2647,53,0,1,刘志军,2018-01-17T18:00:05.705Z,2018-01-17T18:18:54.914Z,
2017开发者生态报告：Python 是最多人想尝试的语言,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367146&idx=1&sn=ecbd6245bc678d17b1f17ec00dbc4999&chksm=be9cdffe89eb56e85983eb25f6b8fb52cb04b815d2db943d48bafd4b8d5e4db29826f3bcbef1&scene=27#wechat_redirect,2017-07-19T07:38:00.000Z,2289,14,0,0,刘志军&jetbrains,2018-01-17T18:00:05.706Z,2018-01-17T18:18:56.100Z,
@classmethod与@staticmethod的区别,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367145&idx=1&sn=bd78a6e6d5b144f9ce6da7d9ee4dda2a&chksm=be9cdffd89eb56ebb1ab82cbffa1bc696775734e9ca6fe6815c52eed1f713694d9a8e1086f18&scene=27#wechat_redirect,2017-07-18T18:23:01.000Z,1526,78,0,2,刘志军,2018-01-17T18:00:05.706Z,2018-01-17T18:18:57.309Z,
Pycharm自动导入模块小技巧,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367133&idx=1&sn=383a38093e17196f103dd331803fb188&chksm=be9cdfc989eb56dfa6f8f830abed4963f0e76e9430839fa18ec49585cfd8f18b0741b87117ab&scene=27#wechat_redirect,2017-07-15T20:34:36.000Z,2857,35,0,0,刘志军,2018-01-17T18:00:05.707Z,2018-01-17T18:18:58.491Z,
程序员如何优雅地写公众号,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367120&idx=1&sn=36dc4785e897394ca3321556c9094b46&chksm=be9cdfc489eb56d213893ca5fbe7a9d9b3d7928cdbaf7cc9d8a07c5a80798173e119fc95a693&scene=27#wechat_redirect,2017-07-14T07:35:00.000Z,2718,140,0,5,刘志军,2018-01-17T18:00:05.708Z,2018-01-17T18:18:59.710Z,
Django开发企业级小说网站超详细教程,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367112&idx=1&sn=50000cb491bf2244b3c04d7358a8e82f&chksm=be9cdfdc89eb56ca97c6966e1be7900982767ad3783f82fe67e2bac19aacd3137c095674a11b&scene=27#wechat_redirect,2017-07-13T07:40:00.000Z,3157,9,0,0,,2018-01-17T18:00:05.709Z,2018-01-17T18:19:00.893Z,https://jq.qq.com/?_wv=1027&k=4BcVuDn
简析  __init__、__new__、__call__ 方法,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367090&idx=1&sn=59361f916c08de744657b81febe89c8e&chksm=be9cdf2689eb5630685122224e7d6acd67e92506ea901eea52a3e4b3d2ffa63f8a89b7b26620&scene=27#wechat_redirect,2017-07-11T07:32:33.000Z,2915,69,0,2,刘志军,2018-01-17T18:00:05.709Z,2018-01-17T18:19:02.137Z,
2017半年写字总结,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367087&idx=1&sn=fa38d60ca3d80de5298a3a7743e896bf&chksm=be9cdf3b89eb562dd6beb58a34dcd505c9aa94a833d082c880ab45f3ec23399c596ed39af2a0&scene=27#wechat_redirect,2017-07-09T09:25:45.000Z,2393,32,0,1,刘志军,2018-01-17T18:00:07.903Z,2018-01-17T18:19:03.347Z,
2017半年文章合集（建议收藏）,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367087&idx=2&sn=299be6e6b04e844115b7375d6ac55a93&chksm=be9cdf3b89eb562d94a8a0df04d5fef7918a82349dd99357cd5c72aac45fc01b78be7a862135&scene=27#wechat_redirect,2017-07-09T09:25:45.000Z,3031,37,0,10,刘志军,2018-01-17T18:00:07.904Z,2018-01-17T18:19:04.613Z,
限免｜这是一节1000+人报名的机器学习课,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367082&idx=1&sn=330e2ff99babf3592686d2f7027e4ea9&chksm=be9cdf3e89eb562856340be0d6af9de9e1eb40eb8e78da4c0fe942cd36cd16c415a9bfaa9265&scene=27#wechat_redirect,2017-07-07T08:35:37.000Z,1792,15,0,0,,2018-01-17T18:00:07.905Z,2018-01-17T18:19:05.792Z,
公布中奖结果，好书在留言区,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367078&idx=1&sn=f84abe010a6559781997065135ee99a5&chksm=be9cdf3289eb5624ecf2de2a8fa08e4d8712907130b963ff5c6acaa29d39315041e01f236162&scene=27#wechat_redirect,2017-07-06T12:51:11.000Z,1542,16,0,1,刘志军,2018-01-17T18:00:07.906Z,2018-01-17T18:19:07.017Z,
